node_id,name,status,internal_id,address,countries,country_codes,sourceID,valid_until,note
11000888,BUSINESS CONSULTANTS LIMITED,ACTIVE,11592,BUSINESS CONSULTANTS LIMITED 18A; 18/F; TWO CHINACHEM PLAZA 68 CONNAUGHT ROAD CENTRAL HONG KONG HONG KONG,Hong Kong,HKG,Panama Papers,The Panama Papers  data is current through 2015,
11001327,MASSHOST INTERNATIONAL LIMITED,SUSPENDED,12379,MASSHOST INTERNATIONAL LIMITED UNIT B; 3RD FLOOR; BLOCK 10 RICHWOOD PARK 33 LO FAI ROAD; TAI PO; NEW TERRITORIES HONG KONG,Hong Kong,HKG,Panama Papers,The Panama Papers  data is current through 2015,
11004644,ASIAN-BIZ CENTER & CONSULTING,ACTIVE,22144,ASIAN-BIZ CENTER & CONSULTING 26/F; 333 TIAN YAO QIAO ROAD; ASCENDAS PLAZA; SHANGHAI; P.R. OF CHINA,China,CHN,Panama Papers,The Panama Papers  data is current through 2015,
11007008,SAKURA KYODO LAW OFFICES,SUSPENDED,30259,"SAKURA KYODO LAW OFFICES NBF HIBIYA BLDG. 16F 1-1-7  UCHISAIWAICHO CHIYODA-KU, TOKYO 100-0011 JAPAN",Japan,JPN,Panama Papers,The Panama Papers  data is current through 2015,
11009882,HONG KONG IR SECRETARY LIMITED,SUSPENDED,35925,HONG KONG IR SECRETARY LIMITED 1B; 561 NAM BIN TSEUN; FA NLING WAI FAN LING N T NEW TERRITORIES HONG KONG,Hong Kong,HKG,Panama Papers,The Panama Papers  data is current through 2015,
11010223,OLIVIER BRUNISHOLZ,ACTIVE,37742,,Switzerland,CHE,Panama Papers,The Panama Papers  data is current through 2015,
11013934,JOSÉ IGNACIO NAVARRO AGUILERA,ACTIVE,801,SRA. KIKUKO ATARASHI CALLE RAIMUNDO FERNANDEZ VILLAVERDE; 19; 2 IZQ. 28003 MADRID ESPAÑA,Spain,ESP,Panama Papers,The Panama Papers  data is current through 2015,
294056,Nakaya Zensuke  Nakaya Setsu & Nakaya Yoshifumi,,,,Japan,JPN,Offshore Leaks,The Offshore Leaks data is current through 2010,
240090234,MASAHIRO NAKAMURA,,,,,,"Pandora Papers - Alemán, Cordero, Galindo & Lee (Alcogal)",Provider data is current through 2017,
